method,scenario,file,rows,unique_queries,query_types,mean_mrr_before,mean_mrr_after,mean_delta_mrr,mean_delta_hit_1,mean_delta_hit_3,mean_delta_hit_10,mean_runtime
shapley,necessary,bench1_2p_shapley_necessary.csv,98551,5000,2p,0.2037747763124288,0.02518940390251024,-0.17858537240991854,-0.12382421284411117,-0.204158253087234,-0.26644072612150055,0.0214352351432703
shapley,sufficient,bench1_2p_shapley_sufficient.csv,98551,5000,2p,0.005895047323061019,0.4801350295715863,0.47423998224852537,0.4361802518492963,0.4878793721017544,0.5373664397114185,0.004632794995284746
score,necessary,bench1_2p_score_necessary.csv,41428,2000,2p,0.2008698088988236,0.4179577336066681,0.2170879247078445,0.2804866274017573,0.1901853818673361,0.11796369605098002,0.004488118524497064
score,sufficient,bench1_2p_score_sufficient.csv,41428,2000,2p,0.002135643693179499,0.08254565540390689,0.08041001171072738,0.047624794824756206,0.07864246403398667,0.14231920440281934,0.004331701618140069
random,necessary,bench1_2p_random_necessary.csv,41428,2000,2p,0.2008698088988236,0.25239125222957604,0.05152144333075244,0.10314280196968234,0.02334170126484503,-0.026262431205947668,0.004292425057758428
random,sufficient,bench1_2p_random_sufficient.csv,41428,2000,2p,0.002135643693179499,0.24811213678099892,0.24597649308781944,0.22496862025683112,0.24548614463647775,0.28654533165974705,0.004342712904364834
first,necessary,bench1_2p_first_necessary.csv,41428,2000,2p,0.2008698088988236,0.0686634709320074,-0.13220633796681622,-0.09278748672395482,-0.16105049724823792,-0.18810949116539538,0.004242216331037739
first,sufficient,bench1_2p_first_sufficient.csv,41428,2000,2p,0.002135643693179499,0.4318399180785676,0.42970427438538805,0.4208989089504683,0.4298783431495607,0.44839239161919475,0.004302239923319716
last,necessary,bench1_2p_last_necessary.csv,41428,2000,2p,0.2008698088988236,0.4318399180785676,0.23097010917974398,0.29465578835570144,0.20384763927778315,0.1321328570049242,0.0042150718509500595
last,sufficient,bench1_2p_last_sufficient.csv,41428,2000,2p,0.002135643693179499,0.0686634709320074,0.06652782723882791,0.03345563387081201,0.06498020662353964,0.12815004344887515,0.004251666311662009
