method,scenario,file,rows/question_answer_cases,unique_queries,mean_delta_mrr,mean_delta_hit_1,mean_runtime
first,necessary,bench1_2p_first_necessary.csv,41428,2000,-0.1322063379668162,-0.09278748672395482,0.00424221633103769
first,sufficient,bench1_2p_first_sufficient.csv,41428,2000,0.4297042743853881,0.4208989089504683,0.004302239923319667
last,necessary,bench1_2p_last_necessary.csv,41428,2000,0.23097010917974398,0.29465578835570144,0.004215071850950011
last,sufficient,bench1_2p_last_sufficient.csv,41428,2000,0.06652782723882789,0.03345563387081201,0.0042516663116619596
random,necessary,bench1_2p_random_necessary.csv,41428,2000,0.05152144333075246,0.10314280196968234,0.0042924250577583796
random,sufficient,bench1_2p_random_sufficient.csv,41428,2000,0.24597649308781944,0.22496862025683112,0.004342712904364786
score,necessary,bench1_2p_score_necessary.csv,41428,2000,0.21708792470784452,0.2804866274017573,0.0044881185244970145
score,sufficient,bench1_2p_score_sufficient.csv,41428,2000,0.08041001171072734,0.047624794824756206,0.0043317016181400195
shapley,necessary,bench1_2p_shapley_necessary.csv,98551,5000,-0.17858537240991854,-0.12382421284411117,0.021435235143270247
shapley,sufficient,bench1_2p_shapley_sufficient.csv,98551,5000,0.47423998224852537,0.4361802518492963,0.004632794995284697
